,Event,Date
0,Goede vrijdag,2018-03-30
1,Eerste Paasdag,2018-04-01
2,Tweede Paasdag,2018-04-02
3,Hemelvaartsdag,2018-05-10
4,Moederdag,2018-05-13
5,Eerste Pinksterdag,2018-05-20
6,Tweede Pinksterdag,2018-05-21
7,Vaderdag,2018-06-17
8,Goede vrijdag,2019-04-19
9,Eerste Paasdag,2019-04-21
10,Tweede Paasdag,2019-04-22
11,Hemelvaartsdag,2019-05-30
12,Moederdag,2019-05-12
13,Eerste Pinksterdag,2019-06-09
14,Tweede Pinksterdag,2019-06-10
15,Vaderdag,2019-06-16
16,Goede vrijdag,2020-04-10
17,Eerste Paasdag,2020-04-12
18,Tweede Paasdag,2020-04-13
19,Hemelvaartsdag,2020-05-21
20,Moederdag,2020-05-10
21,Eerste Pinksterdag,2020-05-31
22,Tweede Pinksterdag,2020-06-01
23,Vaderdag,2020-06-21
24,Goede vrijdag,2021-04-02
25,Eerste Paasdag,2021-04-04
26,Tweede Paasdag,2021-04-05
27,Hemelvaartsdag,2021-05-13
28,Moederdag,2021-05-09
29,Eerste Pinksterdag,2021-05-23
30,Tweede Pinksterdag,2021-05-24
31,Vaderdag,2021-06-20
32,Goede vrijdag,2022-04-15
33,Eerste Paasdag,2022-04-17
34,Tweede Paasdag,2022-04-18
35,Hemelvaartsdag,2022-05-26
36,Moederdag,2022-05-08
37,Eerste Pinksterdag,2022-06-05
38,Tweede Pinksterdag,2022-06-06
39,Vaderdag,2022-06-19
40,Goede vrijdag,2023-04-07
41,Eerste Paasdag,2023-04-09
42,Tweede Paasdag,2023-04-10
43,Hemelvaartsdag,2023-05-18
44,Moederdag,2023-05-14
45,Eerste Pinksterdag,2023-05-28
46,Tweede Pinksterdag,2023-05-29
47,Vaderdag,2023-06-18
48,Goede vrijdag,2024-03-29
49,Eerste Paasdag,2024-03-31
50,Tweede Paasdag,2024-04-01
51,Hemelvaartsdag,2024-05-09
52,Moederdag,2024-05-12
53,Eerste Pinksterdag,2024-05-19
54,Tweede Pinksterdag,2024-05-20
55,Vaderdag,2024-06-16
56,Goede vrijdag,2025-04-18
57,Eerste Paasdag,2025-04-20
58,Tweede Paasdag,2025-04-21
59,Hemelvaartsdag,2025-05-29
60,Moederdag,2025-05-11
61,Eerste Pinksterdag,2025-06-08
62,Tweede Pinksterdag,2025-06-09
63,Vaderdag,2025-06-15
64,Nieuwjaarsdag,2018-01-01
65,Koningsdag,2018-04-27
66,Bevrijdingsdag,2018-05-05
67,Eerste Kerstdag,2018-12-25
68,Tweede Kerstdag,2018-12-26
69,Oudejaarsdag,2018-12-31
70,Valentijnsdag,2018-02-14
71,Nieuwjaarsdag,2019-01-01
72,Koningsdag,2019-04-27
73,Bevrijdingsdag,2019-05-05
74,Eerste Kerstdag,2019-12-25
75,Tweede Kerstdag,2019-12-26
76,Oudejaarsdag,2019-12-31
77,Valentijnsdag,2019-02-14
78,Nieuwjaarsdag,2020-01-01
79,Koningsdag,2020-04-27
80,Bevrijdingsdag,2020-05-05
81,Eerste Kerstdag,2020-12-25
82,Tweede Kerstdag,2020-12-26
83,Oudejaarsdag,2020-12-31
84,Valentijnsdag,2020-02-14
85,Nieuwjaarsdag,2021-01-01
86,Koningsdag,2021-04-27
87,Bevrijdingsdag,2021-05-05
88,Eerste Kerstdag,2021-12-25
89,Tweede Kerstdag,2021-12-26
90,Oudejaarsdag,2021-12-31
91,Valentijnsdag,2021-02-14
92,Nieuwjaarsdag,2022-01-01
93,Koningsdag,2022-04-27
94,Bevrijdingsdag,2022-05-05
95,Eerste Kerstdag,2022-12-25
96,Tweede Kerstdag,2022-12-26
97,Oudejaarsdag,2022-12-31
98,Valentijnsdag,2022-02-14
99,Nieuwjaarsdag,2023-01-01
100,Koningsdag,2023-04-27
101,Bevrijdingsdag,2023-05-05
102,Eerste Kerstdag,2023-12-25
103,Tweede Kerstdag,2023-12-26
104,Oudejaarsdag,2023-12-31
105,Valentijnsdag,2023-02-14
106,Nieuwjaarsdag,2024-01-01
107,Koningsdag,2024-04-27
108,Bevrijdingsdag,2024-05-05
109,Eerste Kerstdag,2024-12-25
110,Tweede Kerstdag,2024-12-26
111,Oudejaarsdag,2024-12-31
112,Valentijnsdag,2024-02-14
113,Nieuwjaarsdag,2025-01-01
114,Koningsdag,2025-04-27
115,Bevrijdingsdag,2025-05-05
116,Eerste Kerstdag,2025-12-25
117,Tweede Kerstdag,2025-12-26
118,Oudejaarsdag,2025-12-31
119,Valentijnsdag,2025-02-14
