,day,date,Mean temp,Min. temp,Max. temp,Sunshine (hour),Solar radiation,Precip. duration,Precip. amount
0,1,2018-01-01,6.800000000000001,5.2,8.8,21,224,69,47
1,2,2018-01-02,6.5,4.5,9.1,14,174,62,45
2,3,2018-01-03,8.8,5.4,11.200000000000001,2,76,51,95
3,4,2018-01-04,8.200000000000001,6.800000000000001,10.700000000000001,2,109,16,6
4,5,2018-01-05,6.4,4.4,8.700000000000001,0,116,24,27
5,6,2018-01-06,4.5,2.2,6.6000000000000005,7,189,0,0
6,7,2018-01-07,1.0,-1.2000000000000002,3.1,62,411,0,0
7,8,2018-01-08,1.1,-1.4000000000000001,3.9000000000000004,65,388,0,0
8,9,2018-01-09,3.0,-0.2,6.1000000000000005,3,190,0,0
9,10,2018-01-10,6.9,5.800000000000001,7.6000000000000005,0,69,58,26
10,11,2018-01-11,5.7,2.8000000000000003,7.6000000000000005,0,135,0,0
11,12,2018-01-12,5.0,4.1000000000000005,5.9,0,103,0,0
12,13,2018-01-13,4.2,1.2000000000000002,6.2,0,90,0,0
13,14,2018-01-14,2.9000000000000004,0.8,5.2,50,369,0,0
14,15,2018-01-15,5.2,1.7000000000000002,8.0,0,57,95,133
15,16,2018-01-16,5.2,2.5,6.9,29,336,39,83
16,17,2018-01-17,4.6000000000000005,2.0,6.0,5,205,22,27
17,18,2018-01-18,4.7,0.5,10.200000000000001,4,167,65,111
18,19,2018-01-19,3.7,1.4000000000000001,6.9,25,326,31,54
19,20,2018-01-20,2.2,0.8,3.6,4,121,20,11
20,21,2018-01-21,3.0,-0.4,6.9,48,431,27,21
21,22,2018-01-22,6.300000000000001,2.0,8.4,5,237,19,6
22,23,2018-01-23,8.1,4.6000000000000005,11.200000000000001,9,221,40,15
23,24,2018-01-24,11.700000000000001,7.300000000000001,14.4,0,147,41,42
24,25,2018-01-25,7.7,5.0,9.200000000000001,6,221,1,1
25,26,2018-01-26,5.4,2.5,8.6,12,297,0,0
26,27,2018-01-27,5.800000000000001,4.4,7.2,20,287,36,11
27,28,2018-01-28,9.700000000000001,6.9,10.8,17,278,0,-1
28,29,2018-01-29,8.8,4.6000000000000005,10.700000000000001,0,166,28,52
29,30,2018-01-30,4.7,2.1,7.4,62,485,0,0
30,31,2018-01-31,6.5,3.2,9.5,0,99,64,38
31,1,2018-02-01,3.4000000000000004,1.9000000000000001,6.1000000000000005,25,290,43,44
32,2,2018-02-02,4.4,-0.5,6.800000000000001,21,335,45,50
33,3,2018-02-03,2.0,-0.4,4.6000000000000005,3,185,22,17
34,4,2018-02-04,1.7000000000000002,-0.4,3.6,36,500,0,-1
35,5,2018-02-05,1.0,-2.1,3.4000000000000004,17,341,0,0
36,6,2018-02-06,-2.1,-4.6000000000000005,2.0,73,789,0,0
37,7,2018-02-07,-2.2,-6.800000000000001,1.9000000000000001,85,792,0,0
38,8,2018-02-08,1.0,-2.5,4.7,65,666,0,0
39,9,2018-02-09,0.6000000000000001,-0.9,2.2,21,415,5,1
40,10,2018-02-10,2.9000000000000004,0.2,7.0,37,478,2,1
41,11,2018-02-11,4.5,2.1,7.300000000000001,20,373,31,51
42,12,2018-02-12,3.0,0.7000000000000001,6.300000000000001,58,643,0,-1
43,13,2018-02-13,2.0,-1.2000000000000002,6.300000000000001,87,860,0,0
44,14,2018-02-14,1.9000000000000001,-2.2,5.5,87,873,0,0
45,15,2018-02-15,4.3,0.5,9.9,21,252,38,35
46,16,2018-02-16,3.2,-2.1,8.700000000000001,87,830,0,0
47,17,2018-02-17,0.9,-3.6,7.6000000000000005,65,686,0,0
48,18,2018-02-18,0.7000000000000001,-4.9,7.300000000000001,85,840,0,0
49,19,2018-02-19,1.2000000000000002,-2.5,3.4000000000000004,0,326,0,-1
50,20,2018-02-20,0.8,-3.8000000000000003,4.6000000000000005,12,439,0,0
51,21,2018-02-21,0.30000000000000004,-3.9000000000000004,4.7,92,929,0,0
52,22,2018-02-22,0.2,-3.0,5.0,89,989,0,0
53,23,2018-02-23,-0.5,-3.8000000000000003,3.5,85,1068,0,0
54,24,2018-02-24,-0.4,-3.4000000000000004,3.3000000000000003,93,1013,0,0
55,25,2018-02-25,-2.2,-4.9,1.1,97,1140,0,0
56,26,2018-02-26,-3.3000000000000003,-5.9,0.0,71,866,0,-1
57,27,2018-02-27,-3.6,-6.4,0.2,87,1028,0,-1
58,28,2018-02-28,-6.6000000000000005,-8.5,-4.6000000000000005,73,851,0,-1
59,1,2018-03-01,-4.7,-8.3,-0.7000000000000001,54,838,0,0
60,2,2018-03-02,-3.7,-7.2,-0.5,68,851,0,-1
61,3,2018-03-03,-1.7000000000000002,-4.5,1.2000000000000002,18,536,0,-1
62,4,2018-03-04,5.0,-2.2,11.3,50,893,22,19
63,5,2018-03-05,6.6000000000000005,3.2,12.0,91,1125,0,0
64,6,2018-03-06,5.6000000000000005,1.0,10.100000000000001,29,708,0,0
65,7,2018-03-07,5.9,0.8,9.5,34,725,40,35
66,8,2018-03-08,4.800000000000001,1.2000000000000002,8.3,20,426,32,47
67,9,2018-03-09,6.5,2.9000000000000004,9.700000000000001,58,973,51,29
68,10,2018-03-10,11.4,7.1000000000000005,15.100000000000001,18,690,66,43
69,11,2018-03-11,10.200000000000001,7.1000000000000005,13.9,25,572,10,12
70,12,2018-03-12,10.3,7.4,14.3,26,720,18,12
71,13,2018-03-13,5.6000000000000005,3.7,8.9,0,205,76,71
72,14,2018-03-14,5.800000000000001,-0.4,11.100000000000001,94,1369,0,-1
73,15,2018-03-15,7.300000000000001,3.6,10.700000000000001,40,761,31,10
74,16,2018-03-16,3.8000000000000003,0.0,6.2,0,199,6,4
75,17,2018-03-17,-1.4000000000000001,-2.6,0.0,5,621,0,-1
76,18,2018-03-18,-1.0,-3.0,1.2000000000000002,49,1075,0,0
